people,account,lab,knife
history,ball,measurement,landscape
way,discipline,mode,league
art,medium,mud,mail
world,share,orange,mess
information,balance,poetry,native
map,bit,police,opening
two,black,possibility,parent
family,bottom,procedure,pattern
government,choice,queen,pin
health,gift,ratio,pool
system,impact,relation,pound
computer,machine,restaurant,request
meat,shape,satisfaction,salary
year,tool,sector,shame
thanks,wind,signature,shelter
music,address,significance,shoe
person,average,song,silver
reading,career,tooth,tackle
method,culture,town,tank
data,morning,vehicle,trust
food,pot,volume,assist
understanding,sign,wife,bake
theory,table,accident,bar
law,task,airport,bell
bird,condition,appointment,bike
literature,contact,arrival,blame
problem,credit,assumption,boy
software,egg,baseball,brick
control,hope,chapter,chair
knowledge,ice,committee,closet
power,network,conversation,clue
ability,north,database,collar
economics,square,enthusiasm,comment
love,attempt,error,conference
internet,date,explanation,devil
television,effect,farmer,diet
science,link,gate,fear
library,post,girl,fuel
nature,star,hall,glove
fact,voice,historian,jacket
product,capital,hospital,lunch
idea,challenge,injury,monitor
temperature,friend,instruction,mortgage
investment,self,maintenance,nurse
area,shot,manufacturer,pace
society,brush,meal,panic
activity,couple,perception,peak
story,debate,pie,plane
industry,exit,poem,reward
media,front,presence,row
thing,function,proposal,sandwich
oven,lack,reception,shock
community,living,replacement,spite
definition,plant,revolution,spray
safety,plastic,river,surprise
quality,spot,son,till
development,summer,speech,transition
language,taste,tea,weekend
management,theme,village,welcome
player,track,warning,yard
variety,wing,winner,alarm
video,brain,worker,bend
week,button,writer,bicycle
security,click,assistance,bite
country,desire,breath,blind
exam,foot,buyer,bottle
movie,gas,chest,cable
organization,influence,chocolate,candle
equipment,notice,conclusion,clerk
physics,rain,contribution,cloud
analysis,wall,cookie,concert
policy,base,courage,counter
series,damage,dad,flower
thought,distance,desk,grandfather
basis,feeling,drawer,harm
boyfriend,pair,establishment,knee
direction,savings,examination,lawyer
strategy,staff,garbage,leather
technology,sugar,grocery,load
army,target,honey,mirror
camera,text,impression,neck
freedom,animal,improvement,pension
paper,author,independence,plate
environment,budget,insect,purple
child,discount,inspection,ruin
instance,file,inspector,ship
month,ground,king,skirt
truth,lesson,ladder,slice
marketing,minute,menu,snow
university,officer,penalty,specialist
writing,phase,piano,stroke
article,reference,potato,switch
department,register,profession,trash
difference,sky,professor,tune
goal,stage,quantity,zone
news,stick,reaction,anger
audience,title,requirement,award
fishing,trouble,salad,bid
growth,bowl,sister,bitter
income,bridge,supermarket,boot
marriage,campaign,tongue,bug
user,character,weakness,camp
combination,club,wedding,candy
failure,edge,affair,carpet
meaning,evidence,ambition,cat
medicine,fan,analyst,champion
philosophy,letter,apple,channel
teacher,lock,assignment,clock
communication,maximum,assistant,comfort
night,novel,bathroom,cow
chemistry,option,bedroom,crack
disease,pack,beer,engineer
disk,park,birthday,entrance
energy,plenty,celebration,fault
nation,quarter,championship,grass
road,skin,cheek,guy
role,sort,client,batman
soup,weight,consequence,highlight
advertising,baby,departure,incident
location,background,diamond,island
success,carry,dirt,joke
addition,dish,ear,jury
apartment,factor,fortune,leg
education,fruit,friendship,lip
math,glass,funeral,mate
moment,joint,gene,motor
painting,master,iron man,nerve
politics,muscle,hat,passage
attention,red,indication,pen
decision,strength,intention,pride
event,traffic,lady,priest
property,trip,midnight,prize
shopping,vegetable,negotiation,promise
student,appeal,obligation,resident
wood,chart,passenger,resort
competition,gear,pizza,ring
distribution,ideal,platform,roof
entertainment,kitchen,poet,rope
office,land,pollution,sail
population,log,recognition,scheme
president,mother,reputation,script
unit,net,shirt,sock
category,party,sir,station
cigarette,principle,speaker,toe
context,relative,stranger,tower
introduction,sale,surgery,truck
opportunity,season,sympathy,witness
performance,signal,tale,manuscript
driver,spirit,throat,alabama
flight,street,trainer,Danny Devito
length,tree,uncle,can
magazine,wave,youth,will
newspaper,belt,time,initial
relationship,bench,work,one
teaching,commission,film,many
cell,copy,water,most
dealer,drop,money,other
finding,minimum,example,use
lake,path,while,make
member,progress,business,good
message,project,study,look
phone,sea,game,help
scene,south,life,go
appearance,status,form,great
association,stuff,air,being
concept,ticket,day,few
customer,tour,place,might
dystopia,angle,number,still
discussion,blue,part,public
housing,breakfast,field,read
inflation,confidence,fish,keep
insurance,daughter,back,start
mood,degree,process,give
tylenol,doctor,heat,human
advice,dot,hand,local
stony brook university,dream,experience,general
effort,duty,job,she
expression,essay,book,specific
importance,father,end,long
opinion,fee,point,play
payment,finance,type,feel
reality,hour,home,high
responsibility,juice,economy,tonight
situation,limit,value,put
skill,luck,body,common
statement,milk,market,set
wealth,mouth,guide,change
application,peace,interest,simple
city,pipe,state,past
county,seat,radio,big
depth,stable,course,possible
estate,storm,company,particular
foundation,substance,price,today
grandmother,team,size,major
heart,trick,card,personal
perspective,afternoon,list,current
photo,bat,mind,national
recipe,beach,trade,cut
studio,blank,line,natural
topic,catch,care,physical
collection,chain,group,show
depression,consideration,risk,try
imagination,cream,word,check
passion,crew,fat,second
percentage,detail,force,call
resource,gold,key,move
setting,interview,light,pay
ad,kid,training,let
agency,mark,name,increase
college,match,school,single
connection,mission,top,individual
criticism,pain,amount,turn
debt,pleasure,level,ask
description,score,order,buy
memory,screw,practice,guard
patience,shower,research,hold
secretary,suit,sense,main
solution,tone,service,offer
administration,window,piece,potential
aspect,agent,web,professional
attitude,band,boss,international
director,block,sport,travel
personality,bone,fun,cook
psychology,calendar,house,alternative
recommendation,cap,page,following
response,coat,term,special
selection,contest,test,working
storage,corner,answer,whole
version,court,sound,dance
alcohol,cup,focus,excuse
argument,district,matter,cold
complaint,door,kind,commercial
contract,east,soil,low
emphasis,finger,board,purchase
highway,garage,oil,deal
loss,guarantee,picture,primary
membership,hole,access,worth
possession,hook,garden,fall
preparation,implement,range,necessary
steak,layer,rate,positive
union,lecture,reason,produce
agreement,lie,future,search
cancer,manner,site,present
currency,meeting,demand,spend
employment,nose,exercise,talk
engineering,parking,image,creative
entry,partner,case,tell
interaction,profile,cause,cost
mixture,respect,coast,drive
preference,rice,action,green
region,routine,age,support
republic,schedule,bad,glad
tradition,swimming,boat,remove
virus,telephone,record,return
actor,tip,result,run
classroom,winter,section,complex
delivery,airline,building,due
device,bag,mouse,effective
difficulty,battle,cash,middle
drama,bed,class,regular
election,bill,nothing,reserve
engine,bother,period,independent
football,cake,plan,leave
guidance,code,store,original
hotel,curve,tax,reach
owner,designer,side,rest
priority,dimension,subject,serve
protection,dress,space,watch
suggestion,ease,rule,beautiful
tension,emergency,stock,charge
variation,evening,weather,active
anxiety,extension,chance,break
atmosphere,farm,figure,negative
awareness,fight,man,safe
bath,gap,model,stay
bread,grade,source,visit
candidate,holiday,beginning,visual
climate,horror,earth,affect
comparison,horse,program,cover
confusion,host,chicken,report
construction,husband,design,rise
elevator,loan,feature,walk
emotion,mistake,head,white
employee,mountain,material,beyond
employer,nail,purpose,junior
guest,noise,question,pick
height,occasion,rock,unique
leadership,package,salt,anything
mall,patient,act,classic
manager,pause,birth,final
operation,phrase,car,lift
recording,proof,dog,mix
sample,race,object,private
transportation,relief,scale,stop
charity,sand,sun,teach
cousin,sentence,note,western
disaster,shoulder,profit,concern
editor,smoke,rent,familiar
efficiency,stomach,speed,fly
excitement,string,style,official
extent,tourist,war,broad
feedback,towel,bank,comfortable
guitar,vacation,craft,gain
homework,west,half,maybe
leader,wheel,inside,rich
mom,wine,outside,save
outcome,arm,standard,stand
permission,aside,bus,young
presentation,associate,exchange,fail
promotion,bet,eye,heavy
reflection,blow,fire,hello
refrigerator,border,position,lead
resolution,branch,pressure,listen
revenue,breast,stress,valuable
session,brother,advantage,worry
singer,buddy,benefit,handle
tennis,bunch,box,leading
basket,chip,frame,meet
bonus,coach,issue,release
cabinet,cross,step,sell
childhood,document,cycle,finish
church,draft,face,normal
clothes,dust,item,press
coffee,expert,metal,ride
dinner,floor,paint,secret
drawing,Hydro Flask,review,spread
hair,golf,room,spring
hearing,habit,screen,tough
initiative,iron,structure,wait
judgment,judge,view,display
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
